 :0
!:0
":0
#:0
$:0
%:0
&:0
':0
(:0
):0
*:0
+:0
,:0
-:0
.:0
/:0
0:0
1:0
2:0
3:0
4:0
5:0
6:0
7:0
8:0
9:0
::0
;:0
<:0
=:0
>:0
?:0
@:0
[:0
\:0
]:0
^:0
_:0
`:0
a:295798
b:63940
c:152980
d:113190
e:376455
f:39238
g:82627
h:92372
i:313010
j:5457
k:26814
l:194915
m:105208
n:251436
o:251597
p:113662
q:5884
r:246141
s:250287
t:230895
u:131496
v:33075
w:22407
x:10493
y:70578
z:14757
{:0
|:0
}:0
~:0
